zoneAmount	computationTime
12	360
12	203
12	166
12	167
12	175
12	148
12	147
12	184
12	237
12	172
16	327
16	427
16	560
16	383
16	417
16	372
16	415
16	285
16	365
16	551
24	1297
24	1356
24	1422
24	1823
24	1631
24	1320
24	1416
24	1802
24	1338
24	1310
32	3962
32	2822
32	3925
32	2618
32	4657
32	2681
32	3771
32	3804
32	3650
32	3128
40	6547
40	10801
40	7887
40	7279
40	8030
40	11902
40	11900
40	13304
40	7971
40	7677
48	13095
48	15077
48	19682
48	18197
48	10822
48	53661
48	12633
48	14899
48	12145
48	11005
4	18
4	9
4	8
4	10
4	7
4	15
4	8
4	8
4	9
4	7
56	23311
56	23292
56	31768
56	36739
56	44261
56	21506
56	31096
56	53155
56	29391
56	21406
64	155228
64	46326
64	48525
64	114020
64	82382
64	81501
64	127894
64	38110
64	41359
64	79448
6	28
6	22
6	25
6	22
6	39
6	22
6	18
6	20
6	21
6	18
8	44
8	42
8	50
8	56
8	62
8	42
8	47
8	39
8	46
8	58
